2022-03-02/15:59:06		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-03-02/15:59:07		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-03-02/15:59:08		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-03-02/15:59:10		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-03-02/15:59:11		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-03-02/15:59:12		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-03-02/15:59:13		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-03-02/15:59:15		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-03-02/15:59:16		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-03-03/06:05:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-03-03/06:05:41		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-03-03/06:05:42		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-03-03/06:05:43		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-03-03/06:05:44		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-03-03/06:05:46		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-03-03/06:05:47		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-03-03/06:05:50		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-03-03/06:05:51		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-03-03/11:18:07		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-03-03/11:18:08		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-03-03/11:18:09		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-03-03/11:18:10		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-03-03/11:18:11		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-03-03/11:18:12		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-03-03/11:18:14		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-03-03/11:18:15		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-03-03/11:18:16		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-03-03/11:27:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-03-03/11:27:31		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-03-03/11:27:32		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-03-03/11:27:33		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-03-03/11:27:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-03-03/11:27:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-03-03/11:27:37		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-03-03/11:27:38		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-03-03/11:27:39		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-03-03/12:19:53		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-03-03/12:19:54		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-03-03/12:19:55		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-03-03/12:19:56		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-03-03/12:19:58		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-03-03/12:19:59		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-03-03/12:20:00		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-03-03/12:20:02		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-03-03/12:20:03		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-03-03/12:39:28		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-03-03/12:39:29		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-03-03/12:39:30		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-03-03/12:39:31		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-03-03/12:39:33		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-03-03/12:39:34		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-03-03/12:39:35		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-03-03/12:39:37		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-03-03/12:39:38		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-03-03/13:45:43		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-03-03/13:45:44		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-03-03/13:45:45		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-03-03/13:45:46		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-03-03/13:45:47		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-03-03/13:45:48		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-03-03/13:45:50		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-03-03/13:45:51		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-03-03/13:45:53		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-03-03/15:22:47		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-03-03/15:22:49		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-03-03/15:22:49		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-03-03/15:22:51		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-03-03/15:22:52		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-03-03/15:22:54		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-03-03/15:22:55		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-03-03/15:22:57		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-03-03/15:22:59		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-03-04/14:45:54		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-03-04/14:45:57		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-03-04/14:45:58		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-03-04/14:46:01		 wafer_21012020_080913.csv: File Transformed successfully!!
